name,edition,condition,language,price_eur,quantity,seller,total_value,id_carta
Cantante mental vodaliana,Dominaria Unida,NM,Inglés,9.95,8,Mazvigosl,79.6,1369
Maestra sabia de la Academia,Dominaria Unida,NM,Inglés,9.95,8,Mazvigosl,79.6,3011
Profanador de la fe,Dominaria Unida,NM,Inglés,1.45,4,Mazvigosl,5.8,849
"Karn, Living Legacy",Dominaria Unida,NM,Inglés,2.95,4,Mazvigosl,11.8,2097
Guardiana de Nueva Benalia,Dominaria Unida,NM,Inglés,1.25,8,Mazvigosl,10.0,516
El cambio de fase de Zhalfir,Dominaria Unida,NM,Inglés,1.45,8,Mazvigosl,11.6,2857
Isla (V.3),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,605
Pantano (V.3),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,805
Pantano (V.2),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,804
Bosque (V.2),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,152
Montaña (V.1),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,736
Llanura (V.3),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,678
Montaña (V.2),Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,737
Llanura (V.2),Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,677
Isla (V.1),Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,603
Montaña (V.3),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,738
Pantano (V.1),Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,803
Amenazas no advertidas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2412
Djinn de la fuente,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,2628
"Rona, fiel de Sheoldred",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,933
"Garna, puñosangriento de Keld",Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl,1.68,496
"Najal, el Corredor de Tormentas",Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,754
Bosque (V.3),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,153
Bosque (V.3),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,153
Bosque (V.2),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,152
Bosque (V.2),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,152
Bosque (V.1),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,151
Bosque (V.1),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,151
Montaña (V.3),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,738
Montaña (V.3),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,738
Montaña (V.2),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,737
Montaña (V.1),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,736
Montaña (V.1),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,736
Pantano (V.3),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,805
Pantano (V.2),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,804
Pantano (V.2),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,804
Pantano (V.1),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,803
Isla (V.3),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,605
Isla (V.3),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,605
Isla (V.2),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,604
Isla (V.2),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,604
Isla (V.1),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,603
Isla (V.1),Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl,1.68,603
Llanura (V.3),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,678
Llanura (V.3),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,678
Llanura (V.2),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,677
Llanura (V.1),Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,676
Llanura (V.1),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,676
Hacha del vencedor,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1261
Autómata de maná recuperado,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2570
Meteorito,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2863
Códice de Jodah,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,300
Bibliotecario autómata,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1164
"Zar Ojanen, hija de Efrava",Dominaria Unida,NM,Inglés,0.4,8,Mazvigosl,3.2,2731
"Vohar, profanador vodaliano",Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl,2.4,2725
"Uurg, engendro de Turg",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1915
"Tura Kennerüd, caballero celeste",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1699
"Tatyova, sirviente de las mareas",Dominaria Unida,NM,Inglés,0.45,8,Mazvigosl,3.6,1135
"Rulik Mons, jefa del barracón",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,941
"Rona, fiel de Sheoldred",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,933
"Raff, partidario del Vientoligero",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,872
"Radha, señora guerrera de la Coalición",Dominaria Unida,NM,Inglés,0.5,8,Mazvigosl,4.0,871
"Najal, el Corredor de Tormentas",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,754
"Nael, aeronauta de avizoas",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,752
Bortuk Sonahuesos,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,149
"Balmor, capitán mago de guerra",Dominaria Unida,NM,Inglés,0.21,5,Mazvigosl,1.05,2783
Transeúnte de Yavimaya,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2167
Prodigio moldeaenredaderas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1926
Maro territorial,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1216
Raizguana al sol,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,1899
Fuerza de la Coalición,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,480
Tejetrampas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2453
Inspección de Pies de Fango,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,569
Explorar lo salvaje,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,444
Ancestro barbamusgosa,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,53
Centinela mágnigoth,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2355
Acechadora de Llanowar,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,11
Báloth rompelíneas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2286
Tortuga suprimemaleficios,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2461
Poderío de Gaia,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl,2.8,834
Muro de enredaderas florífero,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,747
Hidromante élfica,Dominaria Unida,NM,Inglés,0.5,8,Mazvigosl,4.0,2751
Sierpe del elfhogar,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2881
Jardinera brote lúgubre,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2228
Crecimiento colosal,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2648
Alas rotas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,36
Tejón del cenagal,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2420
Aplastador cortezatejida,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1236
Yotia declara la guerra,Dominaria Unida,NM,Inglés,0.5,8,Mazvigosl,4.0,1111
Trituracero de Yavimaya,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,3144
Frenesí de la hueste,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl,2.8,1388
Surcarramas viashino,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,3077
Entusiasmo ante la posibilidad,Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl,1.68,406
Trasgo germinante,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,1052
Monstruosidad fundida,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1156
Batidora de Meria,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2254
Equipo de ataque keldon,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2009
Pirotorbellino de Jaya,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1989
Servir al Abismo,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,3143
Cíclope lanzador,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,299
Mano de martillo,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,703
Trasgo recolector,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1053
Amplificadora ghitu,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1495
Clamor furioso,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1997
Kavu de piedra variable,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1428
Fuegos de la victoria,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,1705
Cría de dragón,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,284
Bestia de guerra de la Coalición,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2340
Berserker balduviano,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,3013
Reposesión de Urborg,Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl,1.76,912
Tributo a Urborg,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1984
Abominación tóxica,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1329
Fantasma andrajoso,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1795
Trasgo salpicador,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2733
Experta de Sengir,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,441
Viviseccionadora pirexiana,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2900
Iracundo pirexiano,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,602
Sanguijuela de guerra monstruosa,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2117
Barricada quejumbrosa,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,130
Extinguir la luz,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2407
Cuidador de almas espeluznante,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2694
Astillas óseas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2232
Contenedor de la plaga,Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl,2.4,261
Enjambre de moscas de combate,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1575
Bendición de la furia de batalla,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,138
Sabotaje agresivo,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,952
Cambiamareas de los Volshe,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2175
Saqueador del mar de Voda,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1799
Géiser tolariano,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2529
Intromisión oportuna,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2089
Tortuga poza de marea,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2404
Vigía talas,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2417
Draco planeador,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1858
Pixie ilusionista,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,827
Espionaje pirexiano,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1333
Micromante,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,723
Detener el ímpetu,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl,2.8,2852
Imaginario inquietante,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,3116
Montaraz puño escarchado,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2541
Djinn de la fuente,Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl,2.4,2628
Colonia de coral,Dominaria Unida,NM,Inglés,0.4,8,Mazvigosl,3.2,245
Místico ala de guerra,Dominaria Unida,NM,Inglés,0.4,8,Mazvigosl,3.2,1752
Muro de la Academia,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,748
Ganar tiempo,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2143
Acólita de Shalai,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2139
Herborista samita,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2149
Plegaria vinculante,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,833
Caballero de la meseta,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2434
Canción de amor de la noche y el día,Dominaria Unida,NM,Inglés,0.34,8,Mazvigosl,2.72,1360
Caballero de la luz del alba,Dominaria Unida,NM,Inglés,0.4,8,Mazvigosl,3.2,1805
Fuerzas unidas,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl,2.8,2700
Carga heroica,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,3067
Grifo protector,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2250
Caballero celeste de la Coalición,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl,2.8,1786
Puente levadizo mecánico,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2438
Jinete celeste carnicero,Dominaria Unida,NM,Inglés,0.45,8,Mazvigosl,3.6,3100
Arresto del ciudadano,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2958
Llamada del capitán,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,674
Vinculador de fe benalita,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1238
Descarga de artillería,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,1401
Falange argiviana,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,3080
Caballero argiviana,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2272
Arena de la Fortaleza,Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl,1.76,80
Impulso,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl,2.8,558
Entusiasmo ante la posibilidad,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,406
Arrastrar a las profundidades,Dominaria Unida,NM,Inglés,0.22,4,Mazvigosl,0.88,91
Instigadora de Radha,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,571
Bastión andante,Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl,1.76,3155
Hacha del vencedor,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,1261
Meteorito,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,2863
Códice de Jodah,Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl,2.4,300
Herencia del héroe,Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl,1.68,1683
Bibliotecario autómata,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,1164
"Zar Ojanen, hija de Efrava",Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl,1.76,2731
"Vohar, profanador vodaliano",Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl,1.76,2725
"Uurg, engendro de Turg",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,1915
"Tura Kennerüd, caballero celeste",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,1699
"Tori D'Avenant, jinete de furia",Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl,1.68,2820
"Tatyova, sirviente de las mareas",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,1135
"Sol'kanar, el Corrompido",Dominaria Unida,NM,Inglés,0.4,4,Mazvigosl,1.6,2432
"Rulik Mons, jefa del barracón",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,941
"Raff, partidario del Vientoligero",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,872
"Radha, señora guerrera de la Coalición",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,871
"Najal, el Corredor de Tormentas",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,754
"Nael, aeronauta de avizoas",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,752
"Lagomos, mano del odio",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,648
Bortuk Sonahuesos,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,149
"Baird, reclutador argiviano",Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl,1.76,2080
Transeúnte de Yavimaya,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,2167
Iconoclasta de Yavimaya,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,555
El tratado de Semillaclima,Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl,1.68,390
Prodigio moldeaenredaderas,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,1926
